dataset,max_acc,last_acc,ensemble_size,epoch_size,data_opts,train_time,all_accs
cod-rna,0.8694853414918801,0.8694853414918801,50,0.5,whole,0.85,"[0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801, 0.8694853414918801]"
cod-rna,0.7562744599932993,0.7562744599932993,50,0.5,whole,0.85,"[0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993, 0.7562744599932993]"
cod-rna,0.8752544943799542,0.8752544943799542,50,0.5,whole,0.96,"[0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542, 0.8752544943799542]"
cod-rna,0.831509073437966,0.831509073437966,50,0.5,whole,0.91,"[0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966, 0.831509073437966]"
cod-rna,0.8862847318098647,0.8862847318098647,50,0.5,whole,0.92,"[0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647, 0.8862847318098647]"
cod-rna,0.8716611994094626,0.8716611994094626,50,0.5,whole,0.93,"[0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626, 0.8716611994094626]"
cod-rna,0.7795057010422765,0.7795057010422765,50,0.5,whole,0.94,"[0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765, 0.7795057010422765]"
cod-rna,0.8706561076810362,0.8706561076810362,50,0.5,whole,0.89,"[0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362, 0.8706561076810362]"
cod-rna,0.879238044746831,0.879238044746831,50,0.5,whole,0.89,"[0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831, 0.879238044746831]"
cod-rna,0.8805671220873509,0.8805671220873509,50,0.5,whole,0.91,"[0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509, 0.8805671220873509]"
cod-rna,0.8542322461407055,0.8542322461407055,50,0.5,whole,0.92,"[0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055, 0.8542322461407055]"
cod-rna,0.7776611920461532,0.7776611920461532,100,1.0,whole,1.88,"[0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532, 0.7776611920461532]"
cod-rna,0.8383311795653439,0.8383311795653439,100,1.0,whole,1.87,"[0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439, 0.8383311795653439]"
cod-rna,0.8391337802862119,0.8391337802862119,100,1.0,whole,1.89,"[0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119, 0.8391337802862119]"
